"univ","from","to","mean","total_apps","stud_apps","budget_apps","total_per_place","budg_per_place","link","price","year","scopus_public","scopus_qoutes","rate_place","rate_sort","region"
"Закарпатський угорський інститут імені Ференца Ракоці ІІ",100.5,189.666666666667,132,196,123,0,1,,"http://kmf.uz.ua/uk/",6953,,,,"179",179,"Закарпатська область"
"Київський кооперативний інститут бізнесу і права",102.666666666667,162.666666666667,127.8,80,20,0,4,,"http://kkibp.edu.ua/uk/",13000,,,,"218",218,"м. Київ"
"Класичний приватний університет",101.5,176.666666666667,130.3,521,72,0,7,,"http://virtuni.education.zp.ua",9839,,,,"160",160,"Запорізька область"
"Харківський економіко-правовий університет" у формі товариства з обмеженою відповідальністю",112.666666666667,132,120.5,7,7,0,1,,"http://hepu.edu.ua/",15800,,,,"219, 220",219,"Харківська область"
"Азовський морський інститут Національного університету «Одеська морська академія»",105.666666666667,191.333333333333,143.9,342,111,22,3,15,"http://ami.edu.ua/ua/",15000,,,,,500,"Донецька область"
"Академія Державної пенітенціарної служби",101,181.333333333333,132.9,235,161,148,1,1,"http://academy.kvs.gov.ua",10333,,,,,500,"Чернігівська область"
"Академія праці, соціальних відносин і туризму",103.666666666667,180.666666666667,133.1,1038,131,0,7,,,11666,,,,"158, 159",158,"м. Київ"
"Барська філія Глухівського національного педагогічного університету імені Олександра Довженка",0,0,0,6,0,0,0,,"http://new.gnpu.edu.ua/uk/",12000,,,,,500,"Вінницька область"
"Бердянський державний педагогічний університет",101.5,186.333333333333,136.7,527,484,196,1,2,"http://bdpu.org/sites/bdpu.org/files/vartist.pdf",9200,,,,"115",115,"Запорізька область"
"Білоцерківський інститут економіки та управління вищого навчального закладу «Відкритий міжнародний університет розвитку людини «Україна»",112,158.666666666667,128.7,80,10,0,8,,"http://bc-uu.com.ua",10700,,,,,500,"Київська область"
"Білоцерківський коледж фінансів, обліку та аудиту Національної академії статистики, обліку та аудиту",0,0,0,3,0,0,0,,"https://bfdasoa.com.ua/",10000,,,,,500,"Київська область"
"Білоцерківський національний аграрний університет",102.666666666667,191.333333333333,136.6,2242,463,150,4,14,"http://btsau.edu.ua",11912,,21,21,"145",145,"Київська область"
"Бурштинський енергетичний коледж Івано-Франківського національного технічного університету нафти і газу",0,0,0,4,0,0,0,,"http://bek.if.ua",,,,,,500,"Івано-Франківська область"
"Вищий державний навчальний заклад України ""Буковинський державний медичний університет""",132,158.333333333333,140.3,153,4,0,38,,"http://vstup.bsmu.edu.ua",26000,,562,563,"34,35",34,"Чернівецька область"
"Вищий навчальний заклад ""Відкритий міжнародний університет розвитку людини ""Україна""",103,184,130,1070,124,0,8,,"http://ab.uu.edu.ua/",7400,2016,42,66,"147, 148",147,"м. Київ"
"Вищий навчальний заклад ""Київська Академія перукарського мистецтва""",106.5,168.5,130,61,41,0,1,,"http://kapi.com.ua/",15600,,,,"184",184,"м. Київ"
"Вищий навчальний заклад ""Київський університет ринкових відносин"" у формі товариства з обмеженою відповідальністю",109.333333333333,146.666666666667,125.4,238,12,0,19,,"http://kumr.edu.ua",12397,,,,"230",230,"м. Київ"
"Вищий навчальний заклад ""Міжнародний технологічний університет ""Миколаївська політехніка""",100.333333333333,123,112.6,36,7,0,5,,"http://mpi.mk.ua/",7140,,,,"270",270,"Миколаївська область"
"Вищий навчальний заклад ""Одеська державна академія технічного регулювання та якості""",124,161.666666666667,138.7,51,5,2,10,25,"http://kachestvo.od.ua",8150,,12,7,"228, 229",228,"Одеська область"
"Вищий навчальний заклад ""Приватне акціонерне товариство ""Волинський інститут економіки та менеджменту""",0,0,0,60,0,0,0,,"http://viem.edu.ua",10000,,,,"214",214,"Волинська область"
"Вищий навчальний заклад ""Приватне акціонерне товариство ""Львівський інститут менеджменту""",113.666666666667,183.333333333333,140.1,239,26,0,9,,"http://www.lim.lviv.ua",12500,,,,"198",198,"Львівська область"
"Вищий навчальний заклад ""Східноєвропейський університет економіки і менеджменту"" (у формі товариства з обмеженою відповідальністю)",0,0,0,293,0,0,0,,"http://www.suem.edu.ua",10200,,,,"208",208,"Черкаська область"
"Вищий навчальний заклад ""Український католицький університет""",129.666666666667,198.666666666667,177.5,1272,319,0,4,,"https://ucu.edu.ua/",29000,,,,"124",124,"Львівська область"
"Вищий навчальний заклад ""Університет економіки та права ""КРОК""",103,186,133.8,2746,300,0,9,,"http://www.krok.edu.ua",14620,,5,5,"73",73,"м. Київ"
"Вищий навчальний заклад ""Університет імені Альфреда Нобеля""",100.666666666667,196,143,3587,630,0,5,,"http://abit.duan.edu.ua/uk/",13740,,12,3,"103",103,"Дніпропетровська область"
"Вищий навчальний заклад Інститут реклами (у формі товариства з обмеженою відповідальністю)",109.5,169,136,48,10,0,4,,"http://ir.edu.ua",9250,,,,"258",258,"м. Київ"
"Вищий навчальний заклад Укоопспілки ""Полтавський університет економіки і торгівлі""",102.333333333333,191,137.3,2045,390,0,5,,"http://puet.edu.ua/",9445,,65,43,"165",165,"Полтавська область"
"Вищий навчальний комунальний заклад Львівської обласної ради ""Львівський інститут медсестринства та лабораторної медицини  ім. Андрея Крупинського""",112.666666666667,182,160.3,309,20,15,15,20,"http://limilm.lviv.ua/vstup",10700,,,,,500,"Львівська область"
"Вищий навчальний приватний заклад ""Дніпропетровський гуманітарний університет""",102,177.333333333333,130.3,1263,150,0,8,,"http://dgu.com.ua",11466,,,,"238, 239",238,"Дніпропетровська область"
"Відокремлений підрозділ ""Дніпровський факультет менеджменту і бізнесу Київського університету культури""",101,184.5,129.3,200,101,0,2,,,,,,,,500,"Дніпропетровська область"
"Відокремлений підрозділ ""Львівська філія Київського національного університету культури і мистецтв""",114,182.666666666667,148.5,93,92,51,1,1,"http://lfknukim.info/",,,,,,500,"Львівська область"
"Відокремлений підрозділ ""Львівський факультет менеджменту і бізнесу Київського університету культури""",106.333333333333,163.5,131.2,147,35,0,4,,,,,,,,500,"Львівська область"
"Відокремлений підрозділ ""Миколаївська філія Київського національного університету культури і мистецтв""",104.5,185.666666666667,137.6,134,132,78,1,1,"http://www.mfknukim.mk.ua/",,,,,,500,"Миколаївська область"
"Відокремлений підрозділ ""Миколаївський факультет менеджменту і бізнесу Київського університету культури""",102,176.5,127.1,282,109,0,2,,,,,,,,500,"Миколаївська область"
"Відокремлений підрозділ Національного університету біоресурсів і природокористування України ""Бережанський агротехнічний інститут""",100,167.333333333333,132.8,177,44,18,4,9,"http://www.bati.nubip.edu.ua/index.php/ua/",17165,,,,,500,"Тернопільська область"
"Відокремлений підрозділ Національного університету біоресурсів і природокористування України ""Ніжинський агротехнічний інститут""",103.666666666667,170.333333333333,129.9,194,47,20,4,9,"http://ti.org.ua/",17165,,,,,500,"Чернігівська область"
"Відокремлений підрозділ приватного акціонерного товариства ""Приватний вищий навчальний заклад ""Запорізький інститут економіки та інформаційних технологій"" у м. Кривий Ріг",0,0,0,7,0,0,0,,"http://www.econom.zp.ua",11908,,,,,500,"Дніпропетровська область"
"Відокремлений підрозділ приватного акціонерного товариства «Приватний вищий навчальний заклад «Запорізький інститут економіки та інформаційних технологій» у м. Мелітополь",0,0,0,7,0,0,0,,"http://www.mvpzieit.com.ua",9975,,,,,500,"Запорізька область"
"Відокремлений структурний підрозділ ""Інститут інноваційної освіти Київського національного університету будівництва і архітектури""",144,144,144,2,1,0,2,,"http://www.knuba.edu.ua/",13500,,,,,500,"м. Київ"
"Відокремлений структурний підрозділ Навчально-науковий інститут підприємництва та перспективних технологій Національного університету ""Львівська політехніка""",120.333333333333,163.333333333333,142.1,212,16,0,13,,"http://ippt.lp.edu.ua",13692,,,,,500,"Львівська область"
"Відокремлений структурний підрозділ Національного авіаційного університету ""Кіровоградська льотна академія Національного авіаційного університету""",106,190,149.2,258,117,69,2,3,"http://www.glau.kr.ua",11981,,,,,500,"Кіровоградська область"
"Вінницька філія Приватного вищого навчального закладу «Київський інститут бізнесу та технологій» товариство з обмеженою відповідальністю",0,0,0,4,0,0,0,,"http://kibit.edu.ua/ru/where/vinnitsa/",10500,,,,,500,"Вінницька область"
"Вінницька філія Приватного вищого навчального закладу «Університет сучасних знань»",106.333333333333,118,113.2,41,3,0,13,,"http://usz.vn.ua",8200,,,,,500,"Вінницька область"
"Вінницький державний педагогічний університет імені Михайла Коцюбинського",101,192.333333333333,144.9,4855,850,336,5,14,"http://www.vspu.edu.ua",9323,,,,"149",149,"Вінницька область"
"Вінницький інститут Приватного акціонерного товариства ""Вищий навчальний заклад ""Міжрегіональна Академія управління персоналом""",0,0,0,19,0,0,0,,"http://www.maup.vn.ua/",7625,,,,,500,"Вінницька область"
"Вінницький кооперативний інститут",121.666666666667,148.333333333333,134.2,85,5,0,17,,"http://www.vki.vin.ua/",13000,,,,"235",235,"Вінницька область"
"Вінницький навчально-науковий інститут економіки Тернопільського національного економічного університету",105.333333333333,181.666666666667,136.3,423,55,14,7,30,"http://www.vie.vin.ua/",,,,,,500,"Вінницька область"
"Вінницький національний аграрний університет",100.333333333333,186.666666666667,135.3,5046,784,209,6,24,"http://www.vsau.org",8625,,,,"118",118,"Вінницька область"
"Вінницький національний технічний університет",102.333333333333,192,149.3,5114,623,369,8,13,"http://vntu.edu.ua",9100,,439,542,"23",23,"Вінницька область"
"Вінницький соціально-економічний інститут Вищого навчального закладу ""Відкритий міжнародний університет розвитку людини ""Україна""",110.666666666667,144.333333333333,127.1,169,13,0,13,,"http://vn.vmurol.com.ua",8775,,,,,500,"Вінницька область"
"Вінницький торговельно - економічний інститут Київського національного торговельно - економічного університету",105.333333333333,189,141.9,3647,521,55,7,66,"http://www.vtei.com.ua",10087,,,,,500,"Вінницька область"
"Волинський інститут імені В'ячеслава Липинського Приватного акціонерного товариства ""Вищий навчальний заклад ""Міжрегіональна Академія управління персоналом""",110,125.333333333333,116,20,3,0,6,,"http://volyn.maup.com.ua",10380,,,,,500,"Волинська область"
"Глухівський національний педагогічний університет імені Олександра Довженка",105,182,136,624,121,103,5,6,"http://new.gnpu.edu.ua/",12000,,,,"192, 193",192,"Сумська область"
"Горлівський інститут іноземних мов Державного вищого навчального закладу ""Донбаський державний педагогічний університет""",103.5,189.333333333333,143.7,425,136,98,3,4,"-",12419,,,,,500,"Донецька область"
"Горлівський регіональний інститут вищого навчального закладу ""Відкритий міжнародний університет розвитку людини ""Україна""",0,0,0,1,0,0,0,,"http://griuu.org",11500,,,,,500,"Донецька область"
"Державний вищий навчальний заклад ""Донбаський державний педагогічний університет""",104,181.333333333333,136,1247,324,193,3,6,"http://www.slavdpu.dn.ua/",12419,,,,"180",180,"Донецька область"
"Державний вищий навчальний заклад ""Донецький національний технічний університет""",101.333333333333,183.333333333333,137,1165,267,176,4,6,"http://donntu.edu.ua",13600,,1107,2160,"17",17,"Донецька область"
"Державний вищий навчальний заклад ""Івано-Франківський національний медичний університет""",116.666666666667,176.666666666667,139.2,208,31,0,6,,"http://www.ifnmu.edu.ua",26400,,48,441,"62",62,"Івано-Франківська область"
"Державний вищий навчальний заклад ""Київський національний економічний університет імені Вадима Гетьмана""",103.666666666667,197.666666666667,160.1,18512,2011,560,9,33,"http://kneu.edu.ua",21300,,156,124,"30",30,"м. Київ"
"Державний вищий навчальний заклад ""Криворізький державний педагогічний університет""",101,195.666666666667,143.1,2793,613,297,4,9,"http://kdpu.edu.ua",12661,,,,"172",172,"Дніпропетровська область"
"Державний вищий навчальний заклад ""Криворізький національний університет""",102.666666666667,195,142.8,2522,430,253,5,10,"http://knu.edu.ua",10554,,194,312,"70, 71",70,"Дніпропетровська область"
"Державний вищий навчальний заклад ""Національний гірничий університет""",101.333333333333,198,148.1,7324,957,383,7,19,"http://www.nmu.org.ua",11233,,516,225,"28",28,"Дніпропетровська область"
