"univ","scopus_public","scopus_qoutes","from","to","mean","link","price","year","rate_place","rate_sort","region","amountOfBudget","AmountOfBacalavr","total_apps","total_per_place","budg_per_place","QtoP","totalStudents","scopus_per_student"
"Закарпатський угорський інститут імені Ференца Ракоці ІІ",,,100.5,189.666666666667,132,"http://kmf.uz.ua/uk/",6953,,"179",179,"Закарпатська область",,188,293,2,,0,253,
"Київський кооперативний інститут бізнесу і права",,,102.666666666667,162.666666666667,127.8,"http://kkibp.edu.ua/uk/",13000,,"218",218,"м. Київ",,209,297,1,,0,288,
"Класичний приватний університет",,,101.5,176.666666666667,130.3,"http://virtuni.education.zp.ua",9839,,"160",160,"Запорізька область",,461,959,2,,0,636,
"Харківський економіко-правовий університет у формі товариства з обмеженою відповідальністю",,,112.666666666667,132,120.5,"http://hepu.edu.ua/",15800,,"219, 220",219,"Харківська область",,75,89,1,,0,82,
"Азовський морський інститут Національного університету «Одеська морська академія»",,,105.666666666667,191.333333333333,143.9,"http://ami.edu.ua/ua/",15000,,,500,"Донецька область",22,115,377,3,17,0,115,
"Академія Державної пенітенціарної служби",,,101,181.333333333333,132.9,"http://academy.kvs.gov.ua",10333,,,500,"Чернігівська область",151,185,267,1,2,0,293,
"Академія праці, соціальних відносин і туризму",,,103.666666666667,180.666666666667,133.1,,11666,,"158, 159",158,"м. Київ",,183,1157,6,,0,282,
"Барська філія Глухівського національного педагогічного університету імені Олександра Довженка",,,0,0,0,"http://new.gnpu.edu.ua/uk/",12000,,,500,"Вінницька область",,30,36,1,,0,30,
"Бердянський державний педагогічний університет",,,101.5,186.333333333333,136.7,"http://bdpu.org/sites/bdpu.org/files/vartist.pdf",9200,,"115",115,"Запорізька область",227,1022,1131,1,5,0,1881,
"Білоцерківська філія Вищого навчального закладу «Одеська державна академія технічного регулювання та якості»",,,,,,,,,,,,,30,41,1,,0,30,
"Білоцерківський інститут економіки та управління вищого навчального закладу «Відкритий міжнародний університет розвитку людини «Україна»",,,112,158.666666666667,128.7,"http://bc-uu.com.ua",10700,,,500,"Київська область",,46,143,3,,0,74,
"Білоцерківський інститут неперервної професійної освіти",,,,,,,,,,,,,13,14,1,,0,51,
"Білоцерківський коледж фінансів, обліку та аудиту Національної академії статистики, обліку та аудиту",,,0,0,0,"https://bfdasoa.com.ua/",10000,,,500,"Київська область",,32,39,1,,0,32,
"Білоцерківський національний аграрний університет",0,2,102.666666666667,191.333333333333,136.6,"http://btsau.edu.ua",11912,,"145",145,"Київська область",487,1142,3230,3,7,-1,2127,0
"Бурштинський енергетичний коледж Івано-Франківського національного технічного університету нафти і газу",,,0,0,0,"http://bek.if.ua",,,,500,"Івано-Франківська область",35,91,162,2,5,0,91,
"Вищий державний навчальний заклад України «Буковинський державний медичний університет»",33,89,132,158.333333333333,140.3,"http://vstup.bsmu.edu.ua",26000,,"34,35",34,"Чернівецька область",,40,196,5,,2.7,716,46.0893854748603
"Вищий навчальний заклад «Відкритий міжнародний університет розвитку людини «Україна»",1,10,103,184,130,"http://ab.uu.edu.ua/",7400,2016,"147, 148",147,"м. Київ",,399,1646,4,,10,604,1.65562913907285
"Вищий навчальний заклад «Київська Академія перукарського мистецтва«",,,106.5,168.5,130,"http://kapi.com.ua/",15600,,"184",184,"м. Київ",,45,65,1,,0,45,
"Вищий навчальний заклад «Київський університет ринкових відносин"" у формі товариства з обмеженою відповідальністю",,,109.333333333333,146.666666666667,125.4,"http://kumr.edu.ua",12397,,"230",230,"м. Київ",,116,359,3,,0,186,
"Вищий навчальний заклад «Міжнародний технологічний університет «Миколаївська політехніка»",,,100.333333333333,123,112.6,"http://mpi.mk.ua/",7140,,"270",270,"Миколаївська область",,74,143,2,,0,74,
"Вищий навчальний заклад «Одеська державна академія технічного регулювання та якості»",12,7,124,161.666666666667,138.7,"http://kachestvo.od.ua",8150,,"228, 229",228,"Одеська область",31,125,580,5,19,0.6,234,51.2820512820513
"Вищий навчальний заклад «Приватне акціонерне товариство ""Волинський інститут економіки та менеджменту»",,,0,0,0,"http://viem.edu.ua",10000,,"214",214,"Волинська область",,2,64,32,,0,2,
"Вищий навчальний заклад «Приватне акціонерне товариство «Львівський інститут менеджменту»",,,113.666666666667,183.333333333333,140.1,"http://www.lim.lviv.ua",12500,,"198",198,"Львівська область",,28,243,9,,0,50,
"Вищий навчальний заклад «Український католицький університет»",,,129.666666666667,198.666666666667,177.5,"https://ucu.edu.ua/",29000,,"124",124,"Львівська область",,321,1278,4,,0,604,
"Вищий навчальний заклад «Університет економіки та права «КРОК»",1,2,103,186,133.8,"http://www.krok.edu.ua",14620,,"73",73,"м. Київ",,414,3035,7,,2,488,2.04918032786885
"Вищий навчальний заклад «Університет імені Альфреда Нобеля»",2,1,100.666666666667,196,143,"http://abit.duan.edu.ua/uk/",13740,,"103",103,"Дніпропетровська область",,788,3814,5,,0.5,1356,1.47492625368732
"Вищий навчальний заклад Інститут реклами (у формі товариства з обмеженою відповідальністю)",,,109.5,169,136,"http://ir.edu.ua",9250,,"258",258,"м. Київ",,23,91,4,,0,50,
"Вищий навчальний заклад Укоопспілки «Полтавський університет економіки і торгівлі»",26,27,102.333333333333,191,137.3,"http://puet.edu.ua/",9445,,"165",165,"Полтавська область",,1262,3009,2,,1,2137,12.1665886757136
"Вищий навчальний комунальний заклад Львівської обласної ради «Львівський інститут медсестринства та лабораторної медицини  ім. Андрея Крупинського»",,,112.666666666667,182,160.3,"http://limilm.lviv.ua/vstup",10700,,,500,"Львівська область",43,50,455,9,11,0,50,
"Вищий навчальний приватний заклад «Дніпропетровський гуманітарний університет»",,,102,177.333333333333,130.3,"http://dgu.com.ua",11466,,"238, 239",238,"Дніпропетровська область",,150,1479,10,,0,150,
"Відокремлений підрозділ «Дніпровський факультет Київського національного університету культури і мистецтв»",,,,,,,,,,,,,20,20,1,,0,20,
"Відокремлений підрозділ «Дніпровський факультет менеджменту і бізнесу Київського університету культури»",,,101,184.5,129.3,,,,,500,"Дніпропетровська область",,230,337,1,,0,230,
"Відокремлений підрозділ «Львівська філія Київського національного університету культури і мистецтв»",,,114,182.666666666667,148.5,"http://lfknukim.info/",,,,500,"Львівська область",51,100,101,1,2,0,100,
"Відокремлений підрозділ «Львівський факультет менеджменту і бізнесу Київського університету культури»",,,106.333333333333,163.5,131.2,,,,,500,"Львівська область",,151,282,2,,0,151,
"Відокремлений підрозділ «Миколаївська філія Київського національного університету культури і мистецтв»",,,104.5,185.666666666667,137.6,"http://www.mfknukim.mk.ua/",,,,500,"Миколаївська область",86,243,245,1,3,0,243,
"Відокремлений підрозділ «Миколаївський факультет менеджменту і бізнесу Київського університету культури»",,,102,176.5,127.1,,,,,500,"Миколаївська область",,253,441,2,,0,253,
"Відокремлений підрозділ «Кадіївський педагогічний коледж Луганського національного університету імені Тараса Шевченка»",,,,,,,,,,,,,8,10,1,,0,8,
"Відокремлений підрозділ Національного університету біоресурсів і природокористування України «Бережанський агротехнічний інститут»",,,100,167.333333333333,132.8,"http://www.bati.nubip.edu.ua/index.php/ua/",17165,,,500,"Тернопільська область",66,304,519,2,8,0,529,
"Відокремлений підрозділ Національного університету біоресурсів і природокористування України «Немішаївський агротехнічний коледж»",,,,,,,,,,,,60,87,87,1,1,0,87,
"Відокремлений підрозділ Національного університету біоресурсів і природокористування України «Ніжинський агротехнічний інститут»",,,103.666666666667,170.333333333333,129.9,"http://ti.org.ua/",17165,,,500,"Чернігівська область",59,151,342,2,6,0,243,
"Відокремлений структурний підрозділ «Інститут інноваційної освіти Київського національного університету будівництва і архітектури»",,,144,144,144,"http://www.knuba.edu.ua/",13500,,,500,"м. Київ",,9,697,77,,0,9,
"Відокремлений структурний підрозділ Навчально-науковий інститут підприємництва та перспективних технологій Національного університету «Львівська політехніка»",,,120.333333333333,163.333333333333,142.1,"http://ippt.lp.edu.ua",13692,,,500,"Львівська область",,137,343,3,,0,174,
