"","univ","scopus_public","scopus_qoutes","from","to","mean","link","price","year","rate_place","rate_sort","region","amountOfBudget","AmountOfBacalavr","total_apps","total_per_place","budg_per_place","QtoP","totalStudents","scopus_per_student","ranking_2017","ranking_2011","rank4","X1","mean1","sd","median","size","zayav"
"1","Бердянський державний педагогічний університет",NA,NA,101.5,186.333333333333,136.7,"http://bdpu.org/sites/bdpu.org/files/vartist.pdf",9200,NA,"115",115,"Запорізька область",227,1022,1131,1.04771371769384,5,0,1881,NA,210,202,-8,"Запорізька область",136.918489065606,18.708301263901,135.3,503,527
"2","Білоцерківський національний аграрний університет",0,2,102.666666666667,191.333333333333,136.6,"http://btsau.edu.ua",11912,NA,"145",145,"Київська область",487,1142,3230,4.55105348460292,7,-1,2127,0,211,204,-7,"Київська область",139.460291734198,18.5404353855849,138.7,617,2808
"3","Вищий державний навчальний заклад України ""Буковинський державний медичний університет""",33,89,114.666666666667,196.333333333333,162.154285714286,"https://www.bsmu.edu.ua/",19228,NA,"34,35",34,"Чернівецька область",NA,525,5791,10.4548872180451,NA,2.6969696969697,525,62.8571428571429,19,25,6,"Чернівецька область",162.087719298246,18.1932251594428,163.2,532,5562
"4","Вищий державний навчальний заклад України ""Українська медична стоматологічна академія""",22,53,109.666666666667,196,156.755868544601,"http://umsa.edu.ua",22090,NA,NA,NA,"Полтавська область",NA,639,3953,5.85758998435055,NA,2.40909090909091,639,34.4287949921753,33,23,-10,"Полтавська область",156.75639019301,18.1909795924706,160,639,3743
"5","Вищий навчальний заклад ""Український католицький університет""",NA,NA,129.666666666667,198.666666666667,177.5,"https://ucu.edu.ua/",29000,NA,"124",124,"Львівська область",NA,321,1278,3.95031055900621,NA,0,604,NA,2,36,34,"Львівська область",177.623188405797,14.6180282645225,182.5,322,1272
"6","Вищий навчальний заклад ""Університет економіки та права ""КРОК""",1,2,103,186,133.8,"http://www.krok.edu.ua",14620,NA,"73",73,"м. Київ",NA,414,3035,9.15333333333333,NA,2,488,2.04918032786885,248,230,-18,"Київ",133.750555555556,17.4146242439304,131.7,300,2746
"7","Вищий навчальний заклад ""Університет імені Альфреда Нобеля""",2,1,100.666666666667,196,143,"http://abit.duan.edu.ua/uk/",13740,NA,"103",103,"Дніпропетровська область",NA,788,3814,5.56124031007752,NA,0.5,1356,1.47492625368732,133,NA,NA,"Дніпропетровська область",143.137726098191,19.8422833207705,141.3,645,3587
"8","Вищий навчальний заклад Укоопспілки ""Полтавський університет економіки і торгівлі""",26,27,102.333333333333,191,137.3,"http://puet.edu.ua/",9445,NA,"165",165,"Полтавська область",NA,1262,3009,5.0997506234414,NA,1,2137,12.1665886757136,201,234,33,"Полтавська область",137.757273482959,18.6848525368893,135.3,401,2045
"9","Вінницький державний педагогічний університет імені Михайла Коцюбинського",NA,NA,101,192.333333333333,144.9,"http://www.vspu.edu.ua",9323,NA,"149",149,"Вінницька область",375,1092,5213,5.57405281285878,14,0,1999,NA,108,74,-34,"Вінницька область",145.201875239189,20.4469949343032,145,871,4855
"10","Вінницький національний аграрний університет",NA,NA,100.333333333333,186.666666666667,135.3,"http://www.vsau.org",8625,NA,"118",118,"Вінницька область",298,1544,7777,6.3992443324937,26,0,2624,NA,231,151,-80,"Вінницька область",135.082493702771,17.0103061176561,133,794,5081
"11","Вінницький національний медичний університет ім. М. І. Пирогова",2,24,102.666666666667,198.666666666667,162.993230174081,"https://www.vnmu.edu.ua/",26000,NA,NA,NA,"Вінницька область",NA,1034,9711,9.27507163323782,NA,12,1034,1.93423597678917,15,9,-6,"Вінницька область",162.913244189748,21.7956895942038,166.7,1047,9711
"12","Вінницький національний технічний університет",93,204,102.333333333333,192,149.3,"http://vntu.edu.ua",9100,NA,"23",23,"Вінницька область",495,953,6127,8.20866773675762,12,2.2,1870,49.7326203208556,63,68,5,"Вінницька область",149.256019261637,20.2557347432149,149.3,623,5114
"13","Вінницький торговельно - економічний інститут Київського національного торговельно - економічного університету",NA,NA,105.333333333333,189,141.9,"http://www.vtei.com.ua",10087,NA,NA,500,"Вінницька область",57,1066,4281,6.68738574040219,75,0,1580,NA,143,55,-88,"Вінницька область",142.475015234613,19.1303362578548,140.7,547,3658
"14","Державний вищий навчальний заклад ""Донбаський державний педагогічний університет""",NA,NA,104,181.333333333333,136,"http://www.slavdpu.dn.ua/",12419,NA,"180",180,"Донецька область",308,668,1717,3.69526627218935,6,0,947,NA,223,NA,NA,"Донецька область",136.014299802761,16.8382476394355,134,338,1249
"15","Державний вищий навчальний заклад ""Донецький національний технічний університет""",49,252,101.333333333333,183.333333333333,137,"http://donntu.edu.ua",13600,NA,"17",17,"Донецька область",288,510,1712,4.32720588235294,6,5.1,793,61.7906683480454,206,116,-90,"Донецька область",136.803921568627,18.130222111553,136.5,272,1177
"16","Державний вищий навчальний заклад ""Івано-Франківський національний медичний університет""",NA,95,109.666666666667,197.333333333333,162.942206654991,"http://www.ifnmu.edu.ua",20783,NA,"62",62,"Івано-Франківська область",NA,571,5873,9.50430292598967,NA,NA,571,NA,16,14,-2,"Івано-Франківська область",162.807228915663,19.2704048532519,166.7,581,5522
"17","Державний вищий навчальний заклад ""Київський національний економічний університет імені Вадима Гетьмана""",25,13,103.666666666667,197.666666666667,160.1,"http://kneu.edu.ua",21300,NA,"30",30,"м. Київ",678,2540,19601,8.84519827998089,29,0.5,3792,6.59282700421941,25,4,-21,"Київ",160.444338270425,20.9667916391595,162.7,2093,18513
"18","Державний вищий навчальний заклад ""Криворізький державний педагогічний університет""",NA,NA,101,195.666666666667,143.1,"http://kdpu.edu.ua",12661,NA,"172",172,"Дніпропетровська область",316,862,3148,4.4903536977492,10,0,1443,NA,130,NA,NA,"Дніпропетровська область",143.154340836013,19.451324522474,143.7,622,2793
"19","Державний вищий навчальний заклад ""Криворізький національний університет""",16,34,102.666666666667,195,142.8,"http://knu.edu.ua",10554,NA,"70, 71",70,"Дніпропетровська область",481,958,3204,5.85150812064965,7,2.1,1753,9.12721049629207,136,NA,NA,"Дніпропетровська область",142.847641144625,19.1073734426021,143.3,431,2522
"20","Державний вищий навчальний заклад ""Національний гірничий університет""",44,76,101.333333333333,198,148.1,"http://www.nmu.org.ua",11233,NA,"28",28,"Дніпропетровська область",808,1713,8473,7.55051546391753,10,1.7,2805,15.6862745098039,74,113,39,"Дніпропетровська область",148.182474226804,20.8211194153691,147.8,970,7324
"21","Державний вищий навчальний заклад ""Національний лісотехнічний університет України""",29,291,103.333333333333,192,145.3,"http://pk.nltu.edu.ua",9816,NA,"49",49,"Львівська область",281,639,2747,10.2870813397129,10,10,1124,25.8007117437722,102,71,-31,"Львівська область",145.281499202552,20.4720558992395,144,209,2150
"22","Державний вищий навчальний заклад ""Переяслав-Хмельницький державний педагогічний університет імені Григорія Сковороди""",NA,NA,100,192.666666666667,134.2,"http://phdpu.edu.ua",10465,NA,"93",93,"Київська область",597,1079,2827,4.53929539295393,5,0,2252,NA,245,221,-24,"Київська область",134.205510388437,18.2619492113397,132.3,369,1675
